0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:44:10 +0200] "GET /ProyectoServlet/index.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:44:14 +0200] "POST /ProyectoServlet/RecuperaUser HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:33:29 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2342
127.0.0.1 - - [03/Oct/2021:18:33:29 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:34:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2342
127.0.0.1 - - [03/Oct/2021:18:47:06 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:47:06 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:49:39 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:49:39 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:30 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:32 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:34 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:34 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:34 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:35 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:52:35 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
